node	form	verb_kind
739916	ʾəθyɛle	qtilele
740004	qimɛle	qtilele
740019	siqɛle	qtilele
740182	zilɛle	qtilele
740250	qimɛle	qtilele
740252	siqɛle	qtilele
740273	qimɛle	qtilele
740281	ṣəlyɛle	qtilele
740282	ṣəlyɛle	qtilele
740283	pišɛle	qtilele
740301	tiwɛle	qtilele
740436	qimɛle	qtilele
740444	ʾəθyɛle	qtilele
740516	ṣəlyɛle	qtilele
740526	siqɛle	qtilele
740528	wirɛle	qtilele
740562	pliṭṭɛla	qtilele
740621	riqɛle	qtilele
740622	pliṭɛle	qtilele
740627	zilɛle	qtilele
740688	zilɛle	qtilele
740747	pištɛla	qtilele
740836	ʾəθyɛle	qtilele
740927	pliṭɛle	qtilele
740946	siqɛle	qtilele
740949	ʾəθyɛle	qtilele
740963	ṣəlyɛle	qtilele
741119	pliṭṭɛla	qtilele
741202	pliṭɛle	qtilele
741203	ʾəθyɛle	qtilele
741205	pliṭɛle	qtilele
741213	ʾəθyɛle	qtilele
741214	ʾəθyɛle	qtilele
741237	pliṭṭɛla	qtilele
741246	pliṭṭɛla	qtilele
741262	tiwtɛla	qtilele
741333	ʾəθyɛle	qtilele
741449	siqɛle	qtilele
741453	pišɛle	qtilele
741589	qimɛle	qtilele
741608	qimɛle	qtilele
741611	diṛɛle	qtilele
741676	qimɛle	qtilele
741813	θiθɛla	qtilele
741815	θiθɛla	qtilele
741918	siqtɛla	qtilele
742043	ziltɛla	qtilele
742083	ṣliθɛla	qtilele
742098	siqtɛla	qtilele
742294	ʾəθyɛle	qtilele
742324	zilɛle	qtilele
742328	zilɛle	qtilele
742395	zilɛle	qtilele
742417	pištɛla	qtilele
742462	diṛɛle	qtilele
742485	ṣliθɛla	qtilele
742486	siqtɛla	qtilele
742498	ṣəlyɛle	qtilele
742575	siqɛle	qtilele
742681	qimɛle	qtilele
742682	ṣəlyɛle	qtilele
742690	pištɛla	qtilele
742882	qimɛle	qtilele
742908	ṣliθɛla	qtilele
742911	wirtɛla	qtilele
742967	qimɛle	qtilele
742977	wirtɛla	qtilele
742983	wirtɛla	qtilele
743020	qimɛle	qtilele
743040	ʾəθyɛle	qtilele
743145	siqɛle	qtilele
743148	wirɛle	qtilele
743595	qimɛle	qtilele
743602	məṭyɛle	qtilele
743648	šqilɛle	qtilele
743671	qimɛle	qtilele
743672	siqɛle	qtilele
743673	wirɛle	qtilele
743702	ṣliθɛla	qtilele
743706	ṣliθɛla	qtilele
743776	siqɛle	qtilele
743858	qimtɛla	qtilele
743859	ziltɛla	qtilele
744090	npilɛle	qtilele
744091	qimɛle	qtilele
744125	pliṭɛle	qtilele
744284	ʾəθyɛle	qtilele
744295	pišɛle	qtilele
744337	qimɛle	qtilele
744632	ṣliθɛla	qtilele
745150	zilɛle	qtilele
745195	qimɛle	qtilele
745951	qimɛle	qtilele
746107	qimɛle	qtilele
746116	tiwɛle	qtilele
746142	zilɛle	qtilele
746146	ṣəlyɛle	qtilele
746151	ṣəlyɛle	qtilele
746327	qimɛle	qtilele
746596	qimɛle	qtilele
746617	qimɛle	qtilele
746670	zilɛle	qtilele
746776	qimɛle	qtilele
747042	qimtɛla	qtilele
747096	ṣəlyɛle	qtilele
747200	qimɛle	qtilele
747292	qimɛle	qtilele
747307	qimtɛla	qtilele
747316	qimtɛla	qtilele
747330	ziltɛla	qtilele
747357	ziltɛla	qtilele
747598	pliṭṭɛla	qtilele
748149	pliṭɛle	qtilele
748387	pišɛle	qtilele
748409	qimɛle	qtilele
748530	wirɛle	qtilele
748729	šqiltɛla	qtilele
748731	ṣliθɛla	qtilele
748860	siqɛle	qtilele
748886	qimɛle	qtilele
748942	qimtɛla	qtilele
749045	ʾəθyɛle	qtilele
749142	wirɛle	qtilele
749177	qimɛle	qtilele
749192	ʾəθyɛle	qtilele
749215	məṭyɛle	qtilele
749271	qimɛle	qtilele
749284	zilɛle	qtilele
749403	ʾəθyɛle	qtilele
749436	tiwɛle	qtilele
749441	ʾəθyɛle	qtilele
749449	tiwɛle	qtilele
749452	ziltɛla	qtilele
749453	θiθɛla	qtilele
749461	tiwtɛla	qtilele
749466	ʾəθyɛle	qtilele
749516	tiwɛle	qtilele
749708	zilɛle	qtilele
749711	npilɛle	qtilele
749715	npilɛle	qtilele
749719	zilɛle	qtilele
749720	zilɛle	qtilele
749721	zilɛle	qtilele
749726	ʾəθyɛle	qtilele
749733	riqɛle	qtilele
749741	zilɛle	qtilele
749804	qimɛle	qtilele
749808	zilɛle	qtilele
749821	zilɛle	qtilele
749827	θiθɛla	qtilele
749829	ʾəθyɛle	qtilele
749831	θiθɛla	qtilele
749833	ʾəθyɛle	qtilele
749851	ʾəθyɛle	qtilele
749854	məṭyɛle	qtilele
749884	ʾəθyɛle	qtilele
749943	qimɛle	qtilele
749973	məṭyɛle	qtilele
749975	npilɛle	qtilele
750064	qimɛle	qtilele
750065	zilɛle	qtilele
750112	qimtɛla	qtilele
750114	pliṭṭɛla	qtilele
750122	riqtɛla	qtilele
750142	wirtɛla	qtilele
750146	qimɛle	qtilele
750149	zilɛle	qtilele
750150	zilɛle	qtilele
750151	məṭyɛle	qtilele
750171	pliṭṭɛla	qtilele
750188	qimɛle	qtilele
750194	məṭyɛle	qtilele
750213	qimtɛla	qtilele
750251	qimɛle	qtilele
750294	qimɛle	qtilele
750304	npiltɛla	qtilele
750307	qimɛle	qtilele
750310	qimɛle	qtilele
750311	zilɛle	qtilele
750340	qimɛle	qtilele
750341	zilɛle	qtilele
750346	qimɛle	qtilele
750397	qimɛle	qtilele
750454	qimtɛla	qtilele
750467	pištɛla	qtilele
751019	pištɛla	qtilele
751165	pliṭɛle	qtilele
751199	tiwɛle	qtilele
751230	zilɛle	qtilele
751238	zilɛle	qtilele
751268	wirɛle	qtilele
751287	siqɛle	qtilele
751318	ʾəθyɛle	qtilele
751341	zilɛle	qtilele
751365	tiwɛle	qtilele
751368	pišɛle	qtilele
751374	tiwɛle	qtilele
751513	riqtɛla	qtilele
751514	riqtɛla	qtilele
751516	ṣliθɛla	qtilele
751531	ṣəlyɛle	qtilele
751546	wirtɛla	qtilele
751567	ziltɛla	qtilele
751674	tiwɛle	qtilele
751733	ʾəθyɛle	qtilele
751924	ʾəθyɛle	qtilele
751968	qimɛle	qtilele
752161	zilɛle	qtilele
752198	wirɛle	qtilele
752226	tiwɛle	qtilele
752349	ʾəθyɛle	qtilele
752379	qimɛle	qtilele
752439	ṣəlyɛle	qtilele
752532	qimɛle	qtilele
752605	qimɛle	qtilele
752628	pliṭɛle	qtilele
752702	pišɛle	qtilele
752715	ṣəlyɛle	qtilele
752720	ṣəlyɛle	qtilele
752823	qimɛle	qtilele
752824	ṣəlyɛle	qtilele
752870	zilɛle	qtilele
752985	ziltɛla	qtilele
752987	pištɛla	qtilele
753102	ṣliθɛla	qtilele
753198	riqɛle	qtilele
753203	məṭyɛle	qtilele
753210	npilɛle	qtilele
753302	qimɛle	qtilele
753331	qimɛle	qtilele
753348	ziltɛla	qtilele
753526	qimɛle	qtilele
753557	məṭyɛle	qtilele
753566	pliṭɛle	qtilele
753708	qimɛle	qtilele
753715	qimɛle	qtilele
753717	ṣəlyɛle	qtilele
753985	ṣəlyɛle	qtilele
754099	tiwtɛla	qtilele
754102	qimɛle	qtilele
754112	tiwtɛla	qtilele
754127	qimɛle	qtilele
754131	pištɛla	qtilele
754199	wirɛle	qtilele
754202	ziltɛla	qtilele
754216	wirɛle	qtilele
754220	qimtɛla	qtilele
754380	riqɛle	qtilele
754476	zilɛle	qtilele
754645	qimɛle	qtilele
754646	šqilɛle	qtilele
754659	qimɛle	qtilele
754735	qimɛle	qtilele
755058	qimtɛla	qtilele
755083	θiθɛla	qtilele
755139	pišɛle	qtilele
755151	qimtɛla	qtilele
755186	qimtɛla	qtilele
755370	qimɛle	qtilele
755382	zilɛle	qtilele
755384	məṭyɛle	qtilele
755627	qimɛle	qtilele
755643	zilɛle	qtilele
755654	siqɛle	qtilele
755724	qimɛle	qtilele
755755	zilɛle	qtilele
755792	ʾəθyɛle	qtilele
755793	siqɛle	qtilele
755972	siqɛle	qtilele
755997	ṣəlyɛle	qtilele
756016	siqɛle	qtilele
756050	ṣəlyɛle	qtilele
756098	siqtɛla	qtilele
756131	šqilɛle	qtilele
756136	npiltɛla	qtilele
756142	qimɛle	qtilele
756505	qimɛle	qtilele
756844	pištɛla	qtilele
756912	pištɛla	qtilele
756914	qimɛle	qtilele
756947	qimɛle	qtilele
757046	qimɛle	qtilele
757049	qimtɛla	qtilele
757118	qimɛle	qtilele
757193	qimtɛla	qtilele
757219	qimɛle	qtilele
757226	qimtɛla	qtilele
757232	ʾəθyɛle	qtilele
757234	diṛɛle	qtilele
757253	qimtɛla	qtilele
757255	tiwtɛla	qtilele
757502	tiwtɛla	qtilele
757568	qimɛle	qtilele
757586	zilɛle	qtilele
757743	qimtɛla	qtilele
757779	pišɛle	qtilele
757800	qimɛle	qtilele
758140	ziltɛla	qtilele
758145	siqɛle	qtilele
758160	ṣəlyɛle	qtilele
758187	siqɛle	qtilele
758267	qimɛle	qtilele
758273	siqɛle	qtilele
758296	ṣəlyɛle	qtilele
758313	pišɛle	qtilele
758336	ṣəlyɛle	qtilele
758337	ṣəlyɛle	qtilele
758338	məṭyɛle	qtilele
758753	siqɛle	qtilele
758754	siqɛle	qtilele
758930	siqɛle	qtilele
758931	siqɛle	qtilele
758934	məṭyɛle	qtilele
758950	tiwɛle	qtilele
759172	qimtɛla	qtilele
759173	ṣliθɛla	qtilele
759183	θiθɛla	qtilele
759393	wirɛle	qtilele
759456	wirɛle	qtilele
759484	ṣəlyɛle	qtilele
759674	pišɛle	qtilele
759697	pišɛle	qtilele
759720	qimɛle	qtilele
759784	qimtɛla	qtilele
759793	siqtɛla	qtilele
759866	qimɛle	qtilele
759869	siqɛle	qtilele
759870	siqɛle	qtilele
760242	ʾəθyɛle	qtilele
760266	zilɛle	qtilele
760267	pišɛle	qtilele
760361	ʾəθyɛle	qtilele
760530	ʾəθyɛle	qtilele
760537	ʾəθyɛle	qtilele
760589	ʾəθyɛle	qtilele
760605	zilɛle	qtilele
760618	ʾəθyɛle	qtilele
760679	qimɛle	qtilele
760687	zilɛle	qtilele
760688	məṭyɛle	qtilele
760976	pliṭṭɛla	qtilele
760977	tiwɛle	qtilele
761073	θiθɛla	qtilele
761194	pliṭɛle	qtilele
761196	ʾəθyɛle	qtilele
761385	zilɛle	qtilele
761386	ʾəθyɛle	qtilele
761532	qimɛle	qtilele
761538	qimɛle	qtilele
761539	diṛɛle	qtilele
761680	ʾəθyɛle	qtilele
761688	zilɛle	qtilele
761726	npilɛle	qtilele
761760	ʾəθyɛle	qtilele
761776	npilɛle	qtilele
761818	ʾəθyɛle	qtilele
761824	ʾəθyɛle	qtilele
761827	pišɛle	qtilele
761851	zilɛle	qtilele
761925	qimɛle	qtilele
761926	zilɛle	qtilele
761927	pišɛle	qtilele
761933	pišɛle	qtilele
762084	pliṭṭɛla	qtilele
762102	riqtɛla	qtilele
762103	wirtɛla	qtilele
762115	zilɛle	qtilele
762274	ṣəlyɛle	qtilele
762308	pliṭṭɛla	qtilele
762334	riqtɛla	qtilele
762379	qimɛle	qtilele
762381	pliṭɛle	qtilele
762536	qimtɛla	qtilele
762537	šqiltɛla	qtilele
762620	qimtɛla	qtilele
762628	ziltɛla	qtilele
762675	θiθɛla	qtilele
762744	mṭiθɛla	qtilele
762774	qimtɛla	qtilele
762820	tiwɛle	qtilele
763033	ṣliθɛla	qtilele
763070	ṣliθɛla	qtilele
763113	pliṭɛle	qtilele
763136	qimtɛla	qtilele
763229	qimɛle	qtilele
763280	qimɛle	qtilele
763397	qimɛle	qtilele
763440	zilɛle	qtilele
763476	qimtɛla	qtilele
763509	pišɛle	qtilele
763529	qimɛle	qtilele
763534	qimɛle	qtilele
763539	šqilɛle	qtilele
763667	qimtɛla	qtilele
763672	zilɛle	qtilele
763674	zilɛle	qtilele
763721	qimɛle	qtilele
763743	qimɛle	qtilele
763880	tiwɛle	qtilele
763882	tiwɛle	qtilele
763886	θiθɛla	qtilele
763890	wirtɛla	qtilele
764016	qimɛle	qtilele
764085	wirɛle	qtilele
764139	wirɛle	qtilele
764151	ṣəlyɛle	qtilele
764224	ʾəθyɛle	qtilele
764414	qimɛle	qtilele
764417	zilɛle	qtilele
764489	θiθɛla	qtilele
764500	qimɛle	qtilele
764598	qimɛle	qtilele
764716	qimɛle	qtilele
764815	zilɛle	qtilele
764938	qimɛle	qtilele
764952	ṣəlyɛle	qtilele
764964	ṣəlyɛle	qtilele
765237	zilɛle	qtilele
765547	θiθɛla	qtilele
765636	qimɛle	qtilele
765647	pišɛle	qtilele
765836	qimɛle	qtilele
765839	ṣəlyɛle	qtilele
765841	ṣəlyɛle	qtilele
766025	pišɛle	qtilele
766097	ṣliθɛla	qtilele
766149	šqiltɛla	qtilele
766239	šqiltɛla	qtilele
766288	ziltɛla	qtilele
766440	pliṭɛle	qtilele
766441	zilɛle	qtilele
766536	qimɛle	qtilele
766552	pišɛle	qtilele
766582	tiwɛle	qtilele
766603	tiwɛle	qtilele
766644	qimɛle	qtilele
766645	šqilɛle	qtilele
766669	ʾəθyɛle	qtilele
766765	qimɛle	qtilele
766766	šqilɛle	qtilele
766769	wirɛle	qtilele
766806	qimtɛla	qtilele
766818	pliṭṭɛla	qtilele
766819	ziltɛla	qtilele
766847	qimɛle	qtilele
766848	zilɛle	qtilele
766891	zilɛle	qtilele
766892	zilɛle	qtilele
766979	siqɛle	qtilele
766981	siqɛle	qtilele
766986	ṣəlyɛle	qtilele
767086	zilɛle	qtilele
767087	riqɛle	qtilele
767133	ʾəθyɛle	qtilele
767257	zilɛle	qtilele
767493	tiwɛle	qtilele
767607	qimɛle	qtilele
767984	qimtɛla	qtilele
768008	qimtɛla	qtilele
768033	qimtɛla	qtilele
768071	qimɛle	qtilele
768080	qimɛle	qtilele
768306	tiwɛle	qtilele
768685	qimɛle	qtilele
768737	qimɛle	qtilele
768785	qimɛle	qtilele
768802	zilɛle	qtilele
768827	ʾəθyɛle	qtilele
768843	zilɛle	qtilele
768887	qimɛle	qtilele
768888	zilɛle	qtilele
768933	ʾəθyɛle	qtilele
768971	qimɛle	qtilele
768986	qimɛle	qtilele
768996	siqɛle	qtilele
769041	qimɛle	qtilele
769042	pliṭɛle	qtilele
769140	riqɛle	qtilele
769142	ṣəlyɛle	qtilele
769240	ʾəθyɛle	qtilele
769308	siqɛle	qtilele
769367	qimɛle	qtilele
769404	ṣəlyɛle	qtilele
769637	qimɛle	qtilele
769676	zilɛle	qtilele
769680	zilɛle	qtilele
769810	qimɛle	qtilele
769837	zilɛle	qtilele
769842	ziltɛla	qtilele
769951	qimɛle	qtilele
769999	qimtɛla	qtilele
770024	qimɛle	qtilele
770202	qimɛle	qtilele
770224	siqɛle	qtilele
770303	qimɛle	qtilele
770306	siqɛle	qtilele
770504	qimɛle	qtilele
770547	ʾəθyɛle	qtilele
770552	wirɛle	qtilele
770556	diṛɛle	qtilele
770560	diṛɛle	qtilele
770596	qimɛle	qtilele
770626	ʾəθyɛle	qtilele
770629	tiwɛle	qtilele
770711	qimɛle	qtilele
770717	qimɛle	qtilele
770974	ṣəlyɛle	qtilele
771081	qimɛle	qtilele
771086	siqɛle	qtilele
771098	siqɛle	qtilele
771126	qimɛle	qtilele
771140	siqɛle	qtilele
771143	siqɛle	qtilele
771185	qimɛle	qtilele
771198	npiltɛla	qtilele
771215	qimɛle	qtilele
771219	tiwɛle	qtilele
771224	ṣəlyɛle	qtilele
771324	siqɛle	qtilele
771332	siqɛle	qtilele
771363	qimɛle	qtilele
771377	qimɛle	qtilele
771378	pišɛle	qtilele
771381	diṛɛle	qtilele
771382	diṛɛle	qtilele
771435	qimɛle	qtilele
771439	siqɛle	qtilele
771472	qimɛle	qtilele
771474	tiwɛle	qtilele
771478	ṣəlyɛle	qtilele
771481	θiθɛla	qtilele
771488	θiθɛla	qtilele
771507	θiθɛla	qtilele
771512	qimtɛla	qtilele
771577	qimtɛla	qtilele
771578	siqtɛla	qtilele
771614	qimɛle	qtilele
771626	siqɛle	qtilele
771650	ṣəlyɛle	qtilele
771657	ʾəθyɛle	qtilele
771668	tiwɛle	qtilele
771683	ʾəθyɛle	qtilele
771717	qimɛle	qtilele
771732	tiwɛle	qtilele
771734	qimɛle	qtilele
771764	zilɛle	qtilele
771788	qimɛle	qtilele
771864	qimɛle	qtilele
771865	pliṭɛle	qtilele
771874	qimɛle	qtilele
771991	siqɛle	qtilele
772179	qimɛle	qtilele
772182	ʾəθyɛle	qtilele
772205	qimɛle	qtilele
772207	siqɛle	qtilele
772212	siqɛle	qtilele
772233	qimtɛla	qtilele
772248	ṣəlyɛle	qtilele
772319	qimɛle	qtilele
772327	qimɛle	qtilele
772330	qimɛle	qtilele
772377	qimɛle	qtilele
772418	ʾəθyɛle	qtilele
772514	siqtɛla	qtilele
772611	qimtɛla	qtilele
772854	qimɛle	qtilele
772855	siqɛle	qtilele
773226	ziltɛla	qtilele
773228	ziltɛla	qtilele
773261	qimtɛla	qtilele
773262	šqiltɛla	qtilele
773267	qimɛle	qtilele
773324	ziltɛla	qtilele
773335	ziltɛla	qtilele
773369	pliṭṭɛla	qtilele
773480	tiwtɛla	qtilele
773493	tiwtɛla	qtilele
773496	θiθɛla	qtilele
773511	mṭiθɛla	qtilele
773562	wirtɛla	qtilele
773563	pištɛla	qtilele
773610	qimtɛla	qtilele
773689	zilɛle	qtilele
773690	məṭyɛle	qtilele
773711	siqtɛla	qtilele
773715	siqtɛla	qtilele
773719	θiθɛla	qtilele
773760	tiwtɛla	qtilele
773766	ziltɛla	qtilele
773768	mṭiθɛla	qtilele
773774	θiθɛla	qtilele
773775	siqtɛla	qtilele
773832	θiθɛla	qtilele
773835	θiθɛla	qtilele
773838	θiθɛla	qtilele
773839	mṭiθɛla	qtilele
773886	pišɛle	qtilele
773888	šqilɛle	qtilele
773890	šqilɛle	qtilele
774003	θiθɛla	qtilele
774012	qimɛle	qtilele
774065	pišɛle	qtilele
774075	ʾəθyɛle	qtilele
774155	ʾəθyɛle	qtilele
774312	siqɛle	qtilele
774384	tiwɛle	qtilele
774410	ṣliθɛla	qtilele
774451	siqtɛla	qtilele
774507	qimɛle	qtilele
774527	qimɛle	qtilele
774637	zilɛle	qtilele
774664	pišɛle	qtilele
774666	pišɛle	qtilele
774976	qimɛle	qtilele
774977	zilɛle	qtilele
774978	zilɛle	qtilele
774982	siqɛle	qtilele
774995	siqɛle	qtilele
775040	qimɛle	qtilele
775041	šqilɛle	qtilele
775070	qimɛle	qtilele
775071	diṛɛle	qtilele
775072	zilɛle	qtilele
775078	zilɛle	qtilele
775111	qimɛle	qtilele
775122	zilɛle	qtilele
775123	məṭyɛle	qtilele
775197	qimɛle	qtilele
775244	qimɛle	qtilele
775294	θiθɛla	qtilele
775301	qimɛle	qtilele
775319	siqɛle	qtilele
775320	siqɛle	qtilele
775344	qimɛle	qtilele
775346	pišɛle	qtilele
775358	qimtɛla	qtilele
775360	θiθɛla	qtilele
775370	tiwtɛla	qtilele
775386	siqɛle	qtilele
775389	siqɛle	qtilele
775401	qimɛle	qtilele
775403	qimɛle	qtilele
775405	siqɛle	qtilele
775442	qimɛle	qtilele
775443	siqɛle	qtilele
775454	siqɛle	qtilele
775555	qimɛle	qtilele
775557	šqilɛle	qtilele
775564	šqilɛle	qtilele
775599	qimɛle	qtilele
775600	zilɛle	qtilele
775601	zilɛle	qtilele
775607	tiwɛle	qtilele
775611	məṭyɛle	qtilele
775620	zilɛle	qtilele
775621	wirɛle	qtilele
775623	pišɛle	qtilele
775634	qimtɛla	qtilele
775638	pliṭṭɛla	qtilele
775705	qimɛle	qtilele
775707	siqɛle	qtilele
775764	qimɛle	qtilele
775766	ʾəθyɛle	qtilele
775835	riqtɛla	qtilele
775836	ṣliθɛla	qtilele
775875	zilɛle	qtilele
775944	qimɛle	qtilele
775949	zilɛle	qtilele
776002	zilɛle	qtilele
776003	məṭyɛle	qtilele
776045	θiθɛla	qtilele
776046	θiθɛla	qtilele
776084	pliṭɛle	qtilele
776086	ʾəθyɛle	qtilele
776115	pišɛle	qtilele
776120	qimɛle	qtilele
776121	zilɛle	qtilele
776130	tiwɛle	qtilele
776149	qimɛle	qtilele
776153	siqɛle	qtilele
776183	diṛtɛla	qtilele
776187	qimɛle	qtilele
776188	ṣəlyɛle	qtilele
776189	ṣəlyɛle	qtilele
776256	qimtɛla	qtilele
776264	šqilɛle	qtilele
776275	tiwɛle	qtilele
776278	zilɛle	qtilele
776305	diṛtɛla	qtilele
776306	pištɛla	qtilele
776308	qimtɛla	qtilele
776314	pišɛle	qtilele
776330	qimtɛla	qtilele
776335	diṛɛle	qtilele
776336	pištɛla	qtilele
776385	qimɛle	qtilele
776393	qimɛle	qtilele
776394	zilɛle	qtilele
776405	ʾəθyɛle	qtilele
776414	θiθɛla	qtilele
776417	tiwɛle	qtilele
776421	ʾəθyɛle	qtilele
776422	ʾəθyɛle	qtilele
776441	pliṭṭɛla	qtilele
776444	ziltɛla	qtilele
776455	diṛɛle	qtilele
776460	ʾəθyɛle	qtilele
776466	tiwɛle	qtilele
776473	diṛɛle	qtilele
776516	ʾəθyɛle	qtilele
776521	ʾəθyɛle	qtilele
776693	ʾəθyɛle	qtilele
776696	qimɛle	qtilele
776713	tiwɛle	qtilele
776718	zilɛle	qtilele
776719	zilɛle	qtilele
776723	məṭyɛle	qtilele
776725	məṭyɛle	qtilele
776760	qimɛle	qtilele
776790	zilɛle	qtilele
776819	qimɛle	qtilele
776943	siqɛle	qtilele
776997	qimɛle	qtilele
777045	siqɛle	qtilele
777051	siqɛle	qtilele
777062	qimɛle	qtilele
777067	qimɛle	qtilele
777128	zilɛle	qtilele
777164	qimtɛla	qtilele
777233	qimɛle	qtilele
777254	zilɛle	qtilele
777256	zilɛle	qtilele
777344	qimɛle	qtilele
777391	pišɛle	qtilele
777393	ṣəlyɛle	qtilele
777394	ṣəlyɛle	qtilele
777427	qimɛle	qtilele
777433	pišɛle	qtilele
777436	qimɛle	qtilele
777450	tiwɛle	qtilele
777485	qimɛle	qtilele
777486	θiθɛla	qtilele
777563	tiwɛle	qtilele
777813	qimɛle	qtilele
777814	pliṭɛle	qtilele
777815	ʾəθyɛle	qtilele
777942	qimɛle	qtilele
777947	zilɛle	qtilele
778088	ʾəθyɛle	qtilele
778143	qimɛle	qtilele
778172	qimɛle	qtilele
